edad, fidico(1-10), habilidades(1-10), velocidad(1-10), Juega o no(0,1)
27,9,9,9,1
31,1,2,7,0
39,5,3,6,0
27,8,6,7,1
28,9,10,10,1
38,1,7,6,0
22,7,10,9,1
12,3,7,7,0
35,1,7,7,0
33,5,2,3,0
29,8,6,10,1
30,8,5,5,1
22,9,7,8,1
23,10,5,7,1
19,7,6,8,1
36,2,3,5,0
31,5,4,6,0
40,1,2,7,0
27,10,5,5,1
19,6,8,8,1
13,1,4,4,0
18,8,5,5,1
35,2,3,5,0
18,6,7,10,1
40,1,3,7,0
38,2,6,7,0
16,7,5,5,1
34,4,7,3,1
37,2,3,7,0
26,10,8,8,1
37,2,6,7,0
36,3,6,3,0
20,8,8,6,1
38,5,5,4,0
27,10,4,5,1
29,8,9,6,1
25,7,7,5,1
27,10,8,7,1
24,5,8,7,1
20,9,7,5,1
30,7,8,9,1
20,8,10,9,1
15,8,7,6,1
38,4,2,4,0
23,5,6,8,1
14,4,3,7,0
17,5,6,7,1
23,8,8,9,1
14,2,5,5,0
15,8,9,6,1
23,7,5,7,1
36,4,2,6,0
23,10,7,8,1
35,5,4,4,0
16,5,5,9,0
34,2,2,6,0
38,5,3,7,0
35,1,6,4,0
36,5,3,7,0
19,7,10,7,1
16,9,4,9,1
28,10,7,6,1
15,5,10,7,1
29,5,4,6,0
16,9,9,9,1
24,8,7,10,1
29,9,10,5,1
15,7,9,5,1
24,6,10,7,1
30,7,10,8,1
20,9,8,9,1
16,10,5,8,1
17,7,8,6,1
38,2,5,4,0
22,9,9,10,1
34,3,4,4,0
38,4,6,5,0
33,1,5,6,0
21,5,7,9,1
32,4,5,6,0
30,8,6,5,1
28,9,10,5,1
26,8,8,9,1
31,2,2,6,0
14,5,4,3,0
28,10,4,8,1
28,10,8,10,1
28,9,7,7,1
19,10,4,5,1
24,7,10,6,1
39,5,4,5,0
20,5,8,7,1
29,10,8,7,1
14,5,5,6,0
14,2,4,4,0
30,8,10,5,1
40,3,2,7,0
15,9,10,10,1
30,8,6,5,1
17,7,6,9,1
23,5,6,7,1
27,6,5,8,1
13,4,3,6,0
18,5,7,8,1
32,2,3,3,0
15,10,10,10,1
12,1,4,6,0
31,3,2,4,0
22,10,10,8,1
15,5,8,6,1
34,3,2,4,0
22,10,8,6,1
18,9,10,8,1
30,8,6,5,1
33,4,7,7,1
27,5,6,7,1
25,9,8,8,1
36,4,6,3,0
34,4,2,5,0
32,2,7,3,0
29,5,8,9,1
17,10,5,5,1
19,7,5,5,1
18,6,5,10,1
21,7,9,9,1
38,2,4,7,0
26,10,5,9,1
37,3,4,5,0
20,6,4,7,0
25,9,4,10,1
17,7,7,5,1
32,1,2,5,0
